"chytrid_gene","cyano_gene","spearman_r","n_nonzero_chy","n_nonzero_cyano","min_nonzero","suspicious","locus_tag","protein","product"
"WDR35_RAT","77289910",0.964285714285714,7,6,6,FALSE,"NMG88_RS18865","MFS transporter","MFS transporter"
"CFA57_HUMAN","77289917",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18900","ATP-dependent DNA helicase RecG","ATP-dependent DNA helicase RecG"
"PREP_DANRE","77289917",0.964285714285714,7,6,6,FALSE,"NMG88_RS18900","ATP-dependent DNA helicase RecG","ATP-dependent DNA helicase RecG"
"PSK1_YEAST","77289917",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18900","ATP-dependent DNA helicase RecG","ATP-dependent DNA helicase RecG"
"YOS3_SCHPO","77289917",0.964285714285714,7,6,6,FALSE,"NMG88_RS18900","ATP-dependent DNA helicase RecG","ATP-dependent DNA helicase RecG"
"BLM_HUMAN","77289919",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18910","translation elongation factor Ts","translation elongation factor Ts"
"RRB1_SCHPO","77289919",0.964285714285714,7,6,6,FALSE,"NMG88_RS18910","translation elongation factor Ts","translation elongation factor Ts"
"DHX8_HUMAN","77289920",0.964285714285714,7,6,6,FALSE,"NMG88_RS18915","30S ribosomal protein S2","30S ribosomal protein S2"
"CAMKI_MACNP","77289925",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18940","class I SAM-dependent methyltransferase","class I SAM-dependent methyltransferase"
"SPC97_DICDI","77289925",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18940","class I SAM-dependent methyltransferase","class I SAM-dependent methyltransferase"
"GCST_MESCR","77289931",-0.964285714285714,7,6,6,FALSE,"NMG88_RS18970","bifunctional folylpolyglutamate synthase/dihydrofolate synthase","folylpolyglutamate synthase/dihydrofolate synthase family protein"
"AB1C_ARATH","77289938",0.964285714285714,7,6,6,FALSE,"NMG88_RS19005","MvdD family ATP-grasp ribosomal peptide maturase","MvdD family ATP-grasp ribosomal peptide maturase"
"ABCD1_RAT","77289938",0.964285714285714,7,6,6,FALSE,"NMG88_RS19005","MvdD family ATP-grasp ribosomal peptide maturase","MvdD family ATP-grasp ribosomal peptide maturase"
"CUDP_METAN","77289938",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19005","MvdD family ATP-grasp ribosomal peptide maturase","MvdD family ATP-grasp ribosomal peptide maturase"
"MBI3_NEUCR","77289938",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19005","MvdD family ATP-grasp ribosomal peptide maturase","MvdD family ATP-grasp ribosomal peptide maturase"
"GAR1_NEOFI","77289941",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19020","ABC transporter ATP-binding protein/permease","ATP-binding cassette domain-containing protein"
"PREG_NEUCR","77289943",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19030","DUF6014 family protein","DUF6014 family protein"
"NANC_ASPNN","77289946",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19045","gluconeogenesis factor YvcK family protein","gluconeogenesis factor YvcK family protein"
"STT3B_HUMAN","77289946",0.964285714285714,7,6,6,FALSE,"NMG88_RS19045","gluconeogenesis factor YvcK family protein","gluconeogenesis factor YvcK family protein"
"SUDA_EMENI","77289946",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19045","gluconeogenesis factor YvcK family protein","gluconeogenesis factor YvcK family protein"
"CYSKL_NEUCR","77289950",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19065","phenylalanine--tRNA ligase subunit beta","phenylalanine--tRNA ligase subunit beta"
"POL4_DROME","77289950",0.964285714285714,7,6,6,FALSE,"NMG88_RS19065","phenylalanine--tRNA ligase subunit beta","phenylalanine--tRNA ligase subunit beta"
"THIM_MOUSE","77289950",0.964285714285714,7,6,6,FALSE,"NMG88_RS19065","phenylalanine--tRNA ligase subunit beta","phenylalanine--tRNA ligase subunit beta"
"XYLT1_CANLF","77289950",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19065","phenylalanine--tRNA ligase subunit beta","phenylalanine--tRNA ligase subunit beta"
"GNAI_DROME","77289953",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19080","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
"WDR35_RAT","77289953",0.964285714285714,7,6,6,FALSE,"NMG88_RS19080","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase"
"LYS1_YARLI","77289957",0.964285714285714,7,6,6,FALSE,"NMG88_RS19100","photosystem I reaction center subunit III","photosystem I reaction center subunit III"
"PGDA_ARTBC","77289957",0.964285714285714,7,6,6,FALSE,"NMG88_RS19100","photosystem I reaction center subunit III","photosystem I reaction center subunit III"
"RIA1_SCHPO","77289959",0.964285714285714,7,6,6,FALSE,"NMG88_RS19110","ATP-binding protein","ATP-binding protein"
"RS2_SCHPO","77289959",0.964285714285714,7,6,6,FALSE,"NMG88_RS19110","ATP-binding protein","ATP-binding protein"
"RIA1_SCHPO","77289961",0.964285714285714,7,6,6,FALSE,"NMG88_RS19120","glutamate 5-kinase","glutamate 5-kinase"
"RS2_SCHPO","77289961",0.964285714285714,7,6,6,FALSE,"NMG88_RS19120","glutamate 5-kinase","glutamate 5-kinase"
"RRAGA_BOVIN","77289964",0.964285714285714,7,6,6,FALSE,"NMG88_RS19135","exonuclease subunit SbcC","exonuclease subunit SbcC"
"CFA58_HUMAN","77289966",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19145","septum site-determining protein MinC","septum site-determining protein MinC"
"CBX5_MOUSE","77289967",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19150","septum site-determining protein MinD","septum site-determining protein MinD"
"CKL3_ARATH","77289967",0.964285714285714,7,6,6,FALSE,"NMG88_RS19150","septum site-determining protein MinD","septum site-determining protein MinD"
"P2R3B_HUMAN","77289967",0.964285714285714,7,6,6,FALSE,"NMG88_RS19150","septum site-determining protein MinD","septum site-determining protein MinD"
"RFA1_HUMAN","77289967",0.964285714285714,7,6,6,FALSE,"NMG88_RS19150","septum site-determining protein MinD","septum site-determining protein MinD"
"RPAB2_SCHPO","77289967",0.964285714285714,7,6,6,FALSE,"NMG88_RS19150","septum site-determining protein MinD","septum site-determining protein MinD"
"SULH1_SCHPO","77289967",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19150","septum site-determining protein MinD","septum site-determining protein MinD"
"UBIQP_XENLA","77289967",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19150","septum site-determining protein MinD","septum site-determining protein MinD"
"ZRT1_CANAL","77289967",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19150","septum site-determining protein MinD","septum site-determining protein MinD"
"CYB5_BRAOB","77289969",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19160","response regulator","response regulator"
"DED1_GIBZE","77289969",-0.964285714285714,7,6,6,FALSE,"NMG88_RS19160","response regulator","response regulator"
"SMCA1_MOUSE","77289969",0.964285714285714,7,6,6,FALSE,"NMG88_RS19160","response regulator","response regulator"
"HIBCH_NEUCR","77289972",0.964285714285714,7,7,7,FALSE,"NMG88_RS19175","ABC transporter substrate-binding protein","ABC transporter substrate-binding protein"
"NCS1_CHICK","77289972",0.964285714285714,7,7,7,FALSE,"NMG88_RS19175","ABC transporter substrate-binding protein","ABC transporter substrate-binding protein"
"RRAGA_BOVIN","77289975",0.964285714285714,7,7,7,FALSE,"NMG88_RS19190","metallophosphatase","metallophosphatase"
"RRP3_SCHPO","77289975",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19190","metallophosphatase","metallophosphatase"
"HIBCH_NEUCR","77289980",0.964285714285714,7,7,7,FALSE,"NMG88_RS19215","Gfo/Idh/MocA family protein","Gfo/Idh/MocA family oxidoreductase"
"NCS1_CHICK","77289980",0.964285714285714,7,7,7,FALSE,"NMG88_RS19215","Gfo/Idh/MocA family protein","Gfo/Idh/MocA family oxidoreductase"
"NDK_EMENI","77289984",0.964285714285714,7,7,7,FALSE,"NMG88_RS19235","trypsin-like serine protease","trypsin-like serine protease"
"TCPG_SCHPO","77289984",0.964285714285714,7,7,7,FALSE,"NMG88_RS19235","trypsin-like serine protease","trypsin-like serine protease"
"THOC2_CALJA","77289984",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19235","trypsin-like serine protease","trypsin-like serine protease"
"ABCF2_DICDI","77289985",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19240","class I SAM-dependent methyltransferase","class I SAM-dependent methyltransferase"
"DBP7_PHANO","77289985",0.964285714285714,7,7,7,FALSE,"NMG88_RS19240","class I SAM-dependent methyltransferase","class I SAM-dependent methyltransferase"
"DPOLA_HUMAN","77289985",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19240","class I SAM-dependent methyltransferase","class I SAM-dependent methyltransferase"
"DYH7_HUMAN","77289989",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19260","M15 family metallopeptidase","M15 family metallopeptidase"
"SYTC_SCHPO","77289989",0.964285714285714,7,7,7,FALSE,"NMG88_RS19260","M15 family metallopeptidase","M15 family metallopeptidase"
"CBX5_MOUSE","77289994",0.964285714285714,7,7,7,FALSE,"NMG88_RS19285","sensor histidine kinase","HAMP domain-containing sensor histidine kinase"
"CKL3_ARATH","77289994",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19285","sensor histidine kinase","HAMP domain-containing sensor histidine kinase"
"P2R3B_HUMAN","77289994",-0.964285714285714,7,7,7,FALSE,"NMG88_RS19285","sensor histidine kinase","HAMP domain-containing sensor histidine kinase"
