"chytrid_gene","cyano_gene","spearman_r","n_nonzero_chy","n_nonzero_cyano","min_nonzero","suspicious","locus_tag","protein","product"
"CAMKI_MACNP","77290061",0.928571428571428,7,6,6,FALSE,"NMG88_RS19620","valine--pyruvate transaminase","valine--pyruvate transaminase"
"NPAL2_HUMAN","77290080",-0.928571428571428,7,7,7,FALSE,"NMG88_RS19715","ABC transporter ATP-binding protein","ABC transporter ATP-binding protein"
"NU4M_USTMA","77290087",0.928571428571428,7,7,7,FALSE,"NMG88_RS19750","DegT/DnrJ/EryC1/StrS family aminotransferase","DegT/DnrJ/EryC1/StrS family aminotransferase"
"MOGT1_HUMAN","77290099",0.928571428571428,7,7,7,FALSE,"NMG88_RS19810","plasmid replication protein, CyRepA1 family","plasmid replication protein, CyRepA1 family"
"SYKC_SCHPO","77290152",-0.928571428571428,7,7,7,FALSE,"NMG88_RS20075","DUF2126 domain-containing protein","transglutaminase family protein"
"BIP_ASPAW","77290187",0.928571428571428,7,6,6,FALSE,"NMG88_RS20250","maltose alpha-D-glucosyltransferase","maltose alpha-D-glucosyltransferase"
"AB6C_ARATH","77290189",-0.928571428571428,7,7,7,FALSE,"NMG88_RS20260","malto-oligosyltrehalose synthase","malto-oligosyltrehalose synthase"
"NPAL2_HUMAN","77290306",0.928571428571428,7,6,6,FALSE,"NMG88_RS20845","RNA-guided endonuclease InsQ/TnpB family protein",NA
"AL1A3_HUMAN","77290381",-0.928571428571428,7,7,7,FALSE,"NMG88_RS21220","exonuclease subunit SbcD","exonuclease subunit SbcD"
"NPAL2_HUMAN","77290426",0.928571428571428,7,6,6,FALSE,"NMG88_RS21445","COP23 domain-containing protein","COP23 domain-containing protein"
"NU4M_USTMA","77290470",-0.928571428571428,7,6,6,FALSE,"NMG88_RS21665","NAD(P)/FAD-dependent oxidoreductase","FAD-binding oxidoreductase"
"AL1A3_HUMAN","77290502",0.928571428571428,7,7,7,FALSE,"NMG88_RS21825","ParA family protein","ParA family protein"
"NPAL2_HUMAN","77290586",0.928571428571428,7,6,6,FALSE,"NMG88_RS22245","hypothetical protein","hypothetical protein"
"PHOP1_MOUSE","77290586",0.928571428571428,7,6,6,FALSE,"NMG88_RS22245","hypothetical protein","hypothetical protein"
"ARF_CRYNB","77287960",-0.927272727272727,7,5,5,FALSE,"NMG88_RS09115","hypothetical protein","hypothetical protein"
"CAMKI_MACNP","77286153",0.926561645826376,7,4,4,FALSE,"NMG88_RS00080","glutamyl-tRNA reductase","glutamyl-tRNA reductase"
"MOGT1_HUMAN","77286195",-0.926561645826376,7,4,4,FALSE,"NMG88_RS00290","response regulator transcription factor","response regulator transcription factor"
"ATC2_CRYNH","77286252",0.926561645826376,7,4,4,FALSE,"NMG88_RS00575","phosphoribosylformylglycinamidine synthase subunit PurQ","phosphoribosylformylglycinamidine synthase subunit PurQ"
"CAMKI_MACNP","77286382",0.926561645826376,7,4,4,FALSE,"NMG88_RS01225","TIGR00297 family protein","TIGR00297 family protein"
"BIP_ASPAW","77286429",0.926561645826376,7,4,4,FALSE,"NMG88_RS01460","tRNA (guanosine(46)-N7)-methyltransferase TrmB","tRNA (guanosine(46)-N7)-methyltransferase TrmB"
"CAMKI_MACNP","77286443",0.926561645826376,7,4,4,FALSE,"NMG88_RS01530","tRNA pseudouridine(55) synthase TruB","tRNA pseudouridine(55) synthase TruB"
"ACA1_SCHPO","77286460",-0.926561645826376,7,4,4,FALSE,"NMG88_RS01615","creatininase family protein","creatininase family protein"
"NU4M_USTMA","77286508",0.926561645826376,7,4,4,FALSE,"NMG88_RS01855","peptidylprolyl isomerase","peptidylprolyl isomerase"
"ATC2_CRYNH","77286626",-0.926561645826376,7,4,4,FALSE,"NMG88_RS02445","2Fe-2S iron-sulfur cluster-binding protein","2Fe-2S iron-sulfur cluster-binding protein"
"CAMKI_MACNP","77286703",0.926561645826376,7,4,4,FALSE,"NMG88_RS02830","50S ribosomal protein L14","50S ribosomal protein L14"
"NPAL2_HUMAN","77286850",0.926561645826376,7,4,4,FALSE,"NMG88_RS03565","tetratricopeptide repeat protein","tetratricopeptide repeat protein"
"PPCE_MOUSE","77286857",0.926561645826376,7,4,4,FALSE,"NMG88_RS03600","hypothetical protein","hypothetical protein"
"ACA1_SCHPO","77287133",0.926561645826376,7,4,4,FALSE,"NMG88_RS04980","sulfate ABC transporter permease subunit CysW","sulfate ABC transporter permease subunit CysW"
"ACA1_SCHPO","77287150",0.926561645826376,7,4,4,FALSE,"NMG88_RS05065","McrC family protein","McrC family protein"
"MOGT1_HUMAN","77287286",-0.926561645826376,7,4,4,FALSE,"NMG88_RS05745","hypothetical protein","hypothetical protein"
"CAMKI_MACNP","77287486",-0.926561645826376,7,4,4,FALSE,"NMG88_RS06745","translation initiation factor","translation initiation factor"
"AL1A3_HUMAN","77287525",-0.926561645826376,7,4,4,FALSE,"NMG88_RS06940","DUF7682 family zinc-binding protein","hypothetical protein"
"ATC2_CRYNH","77287653",-0.926561645826376,7,4,4,FALSE,"NMG88_RS07580","5-formyltetrahydrofolate cyclo-ligase","5-formyltetrahydrofolate cyclo-ligase"
"ATC2_CRYNH","77287681",0.926561645826376,7,4,4,FALSE,"NMG88_RS07720","dTDP-4-dehydrorhamnose 3,5-epimerase","dTDP-4-dehydrorhamnose 3,5-epimerase"
"PAQR1_HUMAN","77287770",0.926561645826376,7,4,4,FALSE,"NMG88_RS08165","CP12 domain-containing protein","CP12 domain-containing protein"
"PAQR1_HUMAN","77287867",0.926561645826376,7,4,4,FALSE,"NMG88_RS08650","glucokinase","glucokinase"
"PHOP1_MOUSE","77287903",-0.926561645826376,7,4,4,FALSE,"NMG88_RS08830","NfeD-like protein","NfeD-like protein"
