Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
In3_1_trimm_paired	In3_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40610404.0	5.2 Gbp	0.0	36-151	43.0	56.02295421926924	128.58712745137922	pass	pass	pass	pass	warn	fail	pass	warn	warn	fail	warn
In3_2_trimm_paired	In3_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40610404.0	5.2 Gbp	0.0	36-151	44.0	55.50118294554316	129.15816900023944	pass	pass	pass	pass	pass	fail	pass	warn	warn	fail	pass
In4_1_trimm_paired	In4_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42437754.0	5.6 Gbp	0.0	36-151	45.0	67.40713042009753	132.58188192523102	pass	pass	pass	pass	warn	fail	pass	warn	warn	fail	pass
In4_2_trimm_paired	In4_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42437754.0	5.6 Gbp	0.0	36-151	45.0	67.11216734482836	133.58164310486364	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
In5_1_trimm_paired	In5_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51267717.0	6.6 Gbp	0.0	36-151	44.0	55.820055495678645	129.30147712643418	pass	pass	pass	pass	warn	fail	pass	warn	warn	fail	pass
In5_2_trimm_paired	In5_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51267717.0	6.6 Gbp	0.0	36-151	45.0	55.38306420280693	130.3614894534898	pass	pass	pass	pass	pass	fail	pass	warn	warn	fail	pass
In6_1_trimm_paired	In6_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31201433.0	4.1 Gbp	0.0	36-151	46.0	69.03238683587034	131.73996450739938	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
In6_2_trimm_paired	In6_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31201433.0	4.1 Gbp	0.0	36-151	46.0	68.75284686913669	132.992516593709	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
In7_1_trimm_paired	In7_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36368338.0	4.8 Gbp	0.0	36-151	45.0	69.53175832374833	133.45848762734224	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
In7_2_trimm_paired	In7_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	36368338.0	4.9 Gbp	0.0	36-151	46.0	69.14672706018253	134.87412124799323	pass	pass	pass	pass	warn	fail	pass	warn	warn	warn	pass
In8_1_trimm_paired	In8_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37501948.0	4.8 Gbp	0.0	36-151	42.0	58.467762867493676	130.42051351572456	pass	pass	pass	pass	warn	fail	pass	warn	warn	fail	pass
In8_2_trimm_paired	In8_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37501948.0	4.9 Gbp	0.0	36-151	43.0	57.679787691376596	131.39335855300104	pass	pass	pass	pass	pass	fail	pass	warn	warn	fail	pass
In9_1_trimm_paired	In9_1_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50312335.0	6.5 Gbp	0.0	36-151	45.0	57.44116828769652	130.8915873612306	pass	pass	pass	pass	warn	fail	pass	warn	warn	fail	pass
In9_2_trimm_paired	In9_2_trimm_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50312335.0	6.5 Gbp	0.0	36-151	45.0	57.24822100869119	131.1770256935998	pass	pass	pass	pass	pass	fail	pass	warn	warn	fail	pass
