Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
In5_2_trimm_paired	44.61693579719307	45.0	130.3614894534898	18.181818181818183	51267717.0
In6_1_trimm_paired	30.96761316412966	46.0	131.73996450739938	9.090909090909092	31201433.0
In6_2_trimm_paired	31.24715313086331	46.0	132.992516593709	9.090909090909092	31201433.0
In7_1_trimm_paired	30.468241676251665	45.0	133.45848762734224	9.090909090909092	36368338.0
In7_2_trimm_paired	30.853272939817472	46.0	134.87412124799323	9.090909090909092	36368338.0
In8_1_trimm_paired	41.532237132506324	42.0	130.42051351572456	18.181818181818183	37501948.0
In8_2_trimm_paired	42.320212308623404	43.0	131.39335855300104	18.181818181818183	37501948.0
In9_1_trimm_paired	42.55883171230348	45.0	130.8915873612306	18.181818181818183	50312335.0
In9_2_trimm_paired	42.75177899130881	45.0	131.1770256935998	18.181818181818183	50312335.0
Z10_1_trimm_paired	67.92290746490781	50.0	129.44786869479026	18.181818181818183	38075260.0
Z10_2_trimm_paired	68.15012976399588	50.0	131.43945401817348	18.181818181818183	38075260.0
Z11_1_trimm_paired	75.95951174416894	51.0	128.70280479913072	18.181818181818183	41511101.0
Z11_2_trimm_paired	76.08871758088175	51.0	130.49437505885473	18.181818181818183	41511101.0
Z12_1_trimm_paired	70.80010721931777	50.0	129.96132105882077	18.181818181818183	45745306.0
Z12_2_trimm_paired	70.73724401651955	50.0	131.61466332742424	18.181818181818183	45745306.0
Z1_1_trimm_paired	64.94552619672943	49.0	130.73512602842308	18.181818181818183	43626865.0
Z1_2_trimm_paired	65.29037316013384	49.0	132.32913483469417	18.181818181818183	43626865.0
Z2_1_trimm_paired	63.680149305424	51.0	129.7838780798086	18.181818181818183	44527686.0
Z2_2_trimm_paired	64.5121654909616	51.0	131.8067077637944	18.181818181818183	44527686.0
Z3_1_trimm_paired	60.52131113507864	52.0	130.99811956415246	18.181818181818183	37101505.0
Z3_2_trimm_paired	61.427165057430386	52.0	133.14586720942992	18.181818181818183	37101505.0
Z4_1_trimm_paired	73.22671931795352	50.0	127.39569388353073	18.181818181818183	35746734.0
Z4_2_trimm_paired	73.80010668180351	51.0	129.94352242081752	18.181818181818183	35746734.0
Z5_1_trimm_paired	59.69804850703748	50.0	131.21809004260754	18.181818181818183	39388575.0
Z5_2_trimm_paired	60.38288513395685	50.0	133.08655423558736	18.181818181818183	39388575.0
Z6_1_trimm_paired	72.30394360132644	53.0	129.86547231983994	9.090909090909092	39847331.0
Z6_2_trimm_paired	72.57680921396874	53.0	131.67281745921704	9.090909090909092	39847331.0
Z7_1_trimm_paired	61.90100126242091	52.0	129.9266707301526	18.181818181818183	45141865.0
Z7_2_trimm_paired	63.153776518182795	52.0	131.86869749400032	18.181818181818183	45141865.0
Z8_1_trimm_paired	76.31162936931767	51.0	128.96709825757677	18.181818181818183	40366312.0
Z8_2_trimm_paired	76.9851177103109	51.0	131.06653989098632	18.181818181818183	40366312.0
Z9_1_trimm_paired	86.13072535269629	52.0	128.22258030077683	9.090909090909092	47312089.0
Z9_2_trimm_paired	86.2926338151091	52.0	130.25231253263834	9.090909090909092	47312089.0
